Player	選手	Team	Date	Game	Pitch	Pitches	Velocity	ResultType	Result
Walker, Adam	ウォーカー アダム	YOM	2022-04-23	71798	curve	2	NA	hit	single
Walker, Adam	ウォーカー アダム	YOM	2022-04-23	71798	split-finger	4	NA	hit	double
Nakajima, Hiroyuki	中島 宏之	YOM	2022-04-23	71798	cutter	3	130	hit	single
Nakajima, Hiroyuki	中島 宏之	YOM	2022-04-23	71798	split-finger	3	134	hit	double
Ohshiro, Takumi	大城 卓三	YOM	2022-04-23	71798	cutter	5	125	hit	single
Kobayashi, Seiji	小林 誠司	YOM	2022-04-23	71798	split-finger	3	140	hit	single
Shoemaker, Matt	シューメーカー マット	YOM	2022-04-23	71798	cutter	3	123	hit	single
Martinez, Ariel	マルティネス アリエル	CHU	2022-04-23	71798	split-finger	1	NA	hit	double
Mizowaki, Hayato	溝脇 隼人	CHU	2022-04-23	71798	two-seam	4	146	hit	single
Kusumoto, Taishi	楠本 泰史	YOK	2022-04-23	71799	straight	3	148	hit	single
Kusumoto, Taishi	楠本 泰史	YOK	2022-04-23	71799	two-seam	1	139	hit	single
Sano, Keita	佐野 恵太	YOK	2022-04-23	71799	curve	4	117	hit	single
Soto, Neftali	ソト ネフタリ	YOK	2022-04-23	71799	straight	4	152	hit	double
Maeda, Yamato	前田 大和	YOK	2022-04-23	71799	straight	6	146	hit	single
Tanaka, Shunta	田中 俊太	YOK	2022-04-23	71799	straight	2	149	hit	single
Kamichatani, Taiga	上茶谷 大河	YOK	2022-04-23	71799	straight	3	147	hit	single
Yamashita, Koki	山下 幸輝	YOK	2022-04-23	71799	curve	3	107	hit	single
Dobayashi, Shota	堂林 翔太	HIR	2022-04-23	71799	straight	4	145	hit	home-run
Dobayashi, Shota	堂林 翔太	HIR	2022-04-23	71799	cutter	4	137	hit	single
Kikuchi, Ryosuke	菊池 涼介	HIR	2022-04-23	71799	cutter	7	136	hit	single
Nishikawa, Ryoma	西川 龍馬	HIR	2022-04-23	71799	slider	2	131	hit	single
McBroom, Ryan	マクブルーム ライアン	HIR	2022-04-23	71799	shoot	2	141	hit	single
Sakakura, Shogo	坂倉 将吾	HIR	2022-04-23	71799	straight	3	145	hit	double
Suekane, Shota	末包 昇大	HIR	2022-04-23	71799	shoot	4	NA	hit	single
Suekane, Shota	末包 昇大	HIR	2022-04-23	71799	straight	8	143	hit	double
Nakamura, Kento	中村 健人	HIR	2022-04-23	71799	change-up	8	130	hit	single
Chikamoto, Koji	近本 光司	HAN	2022-04-24	71800	fork	3	130	hit	single
Itohara, Kento	糸原 健斗	HAN	2022-04-24	71800	straight	4	143	hit	single
Itohara, Kento	糸原 健斗	HAN	2022-04-24	71800	shoot	4	147	hit	single
Sato, Teruaki	佐藤 輝明	HAN	2022-04-24	71800	straight	1	143	hit	home-run
Sato, Teruaki	佐藤 輝明	HAN	2022-04-24	71800	shoot	2	NA	hit	single
Ohyama, Yusuke	大山 悠輔	HAN	2022-04-24	71800	straight	3	141	hit	single
Ohyama, Yusuke	大山 悠輔	HAN	2022-04-24	71800	straight	4	141	hit	double
Yamamoto, Yasuhiro	山本 泰寛	HAN	2022-04-24	71800	shoot	4	150	hit	single
Yamamoto, Yasuhiro	山本 泰寛	HAN	2022-04-24	71800	cutter	3	138	hit	single
Itoi, Yoshio	糸井 嘉男	HAN	2022-04-24	71800	slider	1	125	hit	single
Nakano, Takumu	中野 拓夢	HAN	2022-04-24	71800	slider	4	130	hit	home-run
Nakano, Takumu	中野 拓夢	HAN	2022-04-24	71800	straight	2	140	hit	single
Nakano, Takumu	中野 拓夢	HAN	2022-04-24	71800	shoot	1	152	hit	single
Takayama, Shun	髙山 俊	HAN	2022-04-24	71800	shoot	2	NA	hit	double
Shimada, Kairi	島田 海吏	HAN	2022-04-24	71800	curve	2	119	hit	single
Obata, Ryuhei	小幡 竜平	HAN	2022-04-24	71800	straight	1	144	hit	home-run
Araki, Takahiro	荒木 貴裕	YAK	2022-04-24	71800	slider	1	121	hit	single
Yamada, Tetsuto	山田 哲人	YAK	2022-04-24	71800	two-seam	3	144	hit	single
Murakami, Munetaka	村上 宗隆	YAK	2022-04-24	71800	straight	4	148	hit	single
Shiomi, Yasutaka	塩見 泰隆	YAK	2022-04-24	71800	two-seam	5	141	hit	double
Nagaoka, Hideki	長岡 秀樹	YAK	2022-04-24	71800	slider	2	133	hit	single
Osuna, José	オスナ ホセ	YAK	2022-04-24	71800	straight	4	145	hit	triple
Hamada, Taiki	濱田 太貴	YAK	2022-04-24	71800	straight	3	148	hit	single
Sakamoto, Hayato	坂本 勇人	YOM	2022-04-24	71801	straight	3	142	hit	single
Polanco, Gregory	ポランコ グレゴリー	YOM	2022-04-24	71801	straight	7	146	hit	single
Okamoto, Kazuma	岡本 和真	YOM	2022-04-24	71801	two-seam	2	142	hit	single
Maru, Yoshihiro	丸 佳浩	YOM	2022-04-24	71801	slider	2	129	hit	single
Walker, Adam	ウォーカー アダム	YOM	2022-04-24	71801	slider	2	126	hit	single
Walker, Adam	ウォーカー アダム	YOM	2022-04-24	71801	straight	4	144	hit	home-run
Katsuki, Kazuya	香月 一也	YOM	2022-04-24	71801	straight	3	144	hit	double
Kobayashi, Seiji	小林 誠司	YOM	2022-04-24	71801	slider	3	NA	hit	single
Ohshima, Yohei	大島 洋平	CHU	2022-04-24	71801	cutter	2	132	hit	double
Ohshima, Yohei	大島 洋平	CHU	2022-04-24	71801	screw-ball	2	116	hit	single
Martinez, Ariel	マルティネス アリエル	CHU	2022-04-24	71801	curve	2	115	hit	double
Viciedo, Dayan	ビシエド ダヤン	CHU	2022-04-24	71801	curve	5	116	hit	single
Kinoshita, Takuya	木下 拓哉	CHU	2022-04-24	71801	cutter	5	133	hit	single
Kinoshita, Takuya	木下 拓哉	CHU	2022-04-24	71801	cutter	1	136	hit	single
Kinoshita, Takuya	木下 拓哉	CHU	2022-04-24	71801	slider	1	124	hit	double
Ishikawa, Takaya	石川 昂弥	CHU	2022-04-24	71801	cutter	3	136	hit	triple
Kyoda, Yota	京田 陽太	CHU	2022-04-24	71801	fork	1	134	hit	triple
Okabayashi, Yuki	岡林 勇希	CHU	2022-04-24	71801	slider	6	124	hit	single
Ohta, Taishi	大田 泰示	YOK	2022-04-24	71802	straight	2	140	hit	home-run
Sano, Keita	佐野 恵太	YOK	2022-04-24	71802	straight	4	141	hit	single
Sano, Keita	佐野 恵太	YOK	2022-04-24	71802	straight	4	149	hit	double
Maki, Shugo	牧 秀悟	YOK	2022-04-24	71802	split-finger	2	NA	hit	single
Maki, Shugo	牧 秀悟	YOK	2022-04-24	71802	straight	3	152	hit	home-run
Sekine, Taiki	関根 大気	YOK	2022-04-24	71802	straight	9	151	hit	single
Maeda, Yamato	前田 大和	YOK	2022-04-24	71802	shoot	3	141	hit	double
Minei, Hiroki	嶺井 博希	YOK	2022-04-24	71802	straight	3	146	hit	single
Tobashira, Yasutaka	戸柱 恭孝	YOK	2022-04-24	71802	curve	5	130	hit	single
Dobayashi, Shota	堂林 翔太	HIR	2022-04-24	71802	two-seam	2	145	hit	single
Nishikawa, Ryoma	西川 龍馬	HIR	2022-04-24	71802	straight	9	147	hit	single
Nishikawa, Ryoma	西川 龍馬	HIR	2022-04-24	71802	two-seam	2	141	hit	home-run
Nishikawa, Ryoma	西川 龍馬	HIR	2022-04-24	71802	two-seam	4	NA	hit	single
McBroom, Ryan	マクブルーム ライアン	HIR	2022-04-24	71802	straight	5	144	hit	single
Sakakura, Shogo	坂倉 将吾	HIR	2022-04-24	71802	split-finger	1	134	hit	single
Sakakura, Shogo	坂倉 将吾	HIR	2022-04-24	71802	straight	5	149	hit	single
Kozono, Kaito	小園 海斗	HIR	2022-04-24	71802	split-finger	3	133	hit	single
Yoshikawa, Naoki	吉川 尚輝	YOM	2022-04-26	71803	straight	7	143	hit	double
Okamoto, Kazuma	岡本 和真	YOM	2022-04-26	71803	two-seam	4	154	hit	home-run
Walker, Adam	ウォーカー アダム	YOM	2022-04-26	71803	two-seam	3	150	hit	double
Walker, Adam	ウォーカー アダム	YOM	2022-04-26	71803	slider	5	140	hit	single
Walker, Adam	ウォーカー アダム	YOM	2022-04-26	71803	straight	1	151	hit	double
Katsuki, Kazuya	香月 一也	YOM	2022-04-26	71803	cutter	3	144	hit	double
Kishida, Yukinori	岸田 行倫	YOM	2022-04-26	71803	straight	4	154	hit	single
Matsubara, Seiya	松原 聖弥	YOM	2022-04-26	71803	straight	6	NA	hit	single
Kuwahara, Masayuki	桑原 将志	YOK	2022-04-26	71803	straight	3	147	hit	double
Sano, Keita	佐野 恵太	YOK	2022-04-26	71803	straight	1	149	hit	double
Soto, Neftali	ソト ネフタリ	YOK	2022-04-26	71803	straight	6	152	hit	home-run
Maki, Shugo	牧 秀悟	YOK	2022-04-26	71803	straight	4	149	hit	single
Maki, Shugo	牧 秀悟	YOK	2022-04-26	71803	straight	4	144	hit	home-run
Maki, Shugo	牧 秀悟	YOK	2022-04-26	71803	straight	1	147	hit	single
Tobashira, Yasutaka	戸柱 恭孝	YOK	2022-04-26	71803	fork	5	135	hit	double
Maeda, Yamato	前田 大和	YOK	2022-04-26	71803	slider	4	131	hit	single
Yoshikawa, Naoki	吉川 尚輝	YOM	2022-04-27	71806	change-up	5	130	hit	single
Polanco, Gregory	ポランコ グレゴリー	YOM	2022-04-27	71806	straight	2	143	hit	single
Polanco, Gregory	ポランコ グレゴリー	YOM	2022-04-27	71806	straight	2	143	hit	single
Okamoto, Kazuma	岡本 和真	YOM	2022-04-27	71806	straight	2	139	hit	home-run
Walker, Adam	ウォーカー アダム	YOM	2022-04-27	71806	straight	4	140	hit	single
Maru, Yoshihiro	丸 佳浩	YOM	2022-04-27	71806	slider	2	132	hit	single
Nakajima, Hiroyuki	中島 宏之	YOM	2022-04-27	71806	change-up	8	NA	hit	home-run
Kobayashi, Seiji	小林 誠司	YOM	2022-04-27	71806	two-seam	2	139	hit	single
Kuwahara, Masayuki	桑原 将志	YOK	2022-04-27	71806	straight	7	143	hit	single
Sano, Keita	佐野 恵太	YOK	2022-04-27	71806	straight	3	145	hit	single
Sano, Keita	佐野 恵太	YOK	2022-04-27	71806	straight	1	152	hit	single
Martinez, Ariel	マルティネス アリエル	CHU	2022-04-27	71807	fork	6	139	hit	single
Viciedo, Dayan	ビシエド ダヤン	CHU	2022-04-27	71807	shoot	3	143	hit	single
Viciedo, Dayan	ビシエド ダヤン	CHU	2022-04-27	71807	shoot	3	143	hit	single
Abe, Toshiki	阿部 寿樹	CHU	2022-04-27	71807	slider	4	130	hit	double
Abe, Toshiki	阿部 寿樹	CHU	2022-04-27	71807	straight	3	149	hit	double
Kinoshita, Takuya	木下 拓哉	CHU	2022-04-27	71807	change-up	2	132	hit	single
Kyoda, Yota	京田 陽太	CHU	2022-04-27	71807	slider	2	134	hit	double
Kyoda, Yota	京田 陽太	CHU	2022-04-27	71807	slider	6	127	hit	single
Mizowaki, Hayato	溝脇 隼人	CHU	2022-04-27	71807	straight	6	150	hit	single
Chikamoto, Koji	近本 光司	HAN	2022-04-27	71807	fork	2	138	hit	single
Chikamoto, Koji	近本 光司	HAN	2022-04-27	71807	slider	1	136	hit	single
Itoi, Yoshio	糸井 嘉男	HAN	2022-04-27	71807	straight	1	147	hit	double
Itoi, Yoshio	糸井 嘉男	HAN	2022-04-27	71807	slider	3	136	hit	single
Itoi, Yoshio	糸井 嘉男	HAN	2022-04-27	71807	split-finger	9	136	hit	single
Yamamoto, Yasuhiro	山本 泰寛	HAN	2022-04-27	71807	fork	5	137	hit	single
Sakamoto, Seishiro	坂本 誠志郎	HAN	2022-04-27	71807	straight	2	NA	hit	single
Nishi, Yuki	西 勇輝	HAN	2022-04-27	71807	slider	4	136	hit	single
Shiomi, Yasutaka	塩見 泰隆	YAK	2022-04-27	71808	straight	5	149	hit	single
Shiomi, Yasutaka	塩見 泰隆	YAK	2022-04-27	71808	curve	3	115	hit	home-run
Aoki, Norichika	青木 宣親	YAK	2022-04-27	71808	straight	2	145	hit	single
Yamada, Tetsuto	山田 哲人	YAK	2022-04-27	71808	straight	3	148	hit	home-run
Yamada, Tetsuto	山田 哲人	YAK	2022-04-27	71808	two-seam	5	139	hit	single
Yamada, Tetsuto	山田 哲人	YAK	2022-04-27	71808	straight	4	148	hit	single
Yamada, Tetsuto	山田 哲人	YAK	2022-04-27	71808	straight	1	143	hit	single
Murakami, Munetaka	村上 宗隆	YAK	2022-04-27	71808	straight	7	147	hit	double
Murakami, Munetaka	村上 宗隆	YAK	2022-04-27	71808	straight	2	148	hit	home-run
Murakami, Munetaka	村上 宗隆	YAK	2022-04-27	71808	straight	1	142	hit	single
Nagaoka, Hideki	長岡 秀樹	YAK	2022-04-27	71808	two-seam	4	135	hit	single
Nagaoka, Hideki	長岡 秀樹	YAK	2022-04-27	71808	change-up	9	134	hit	single
Osuna, José	オスナ ホセ	YAK	2022-04-27	71808	straight	2	143	hit	double
Osuna, José	オスナ ホセ	YAK	2022-04-27	71808	straight	7	143	hit	single
Dobayashi, Shota	堂林 翔太	HIR	2022-04-27	71808	slider	6	126	hit	single
Nishikawa, Ryoma	西川 龍馬	HIR	2022-04-27	71808	cutter	5	134	hit	single
Nishikawa, Ryoma	西川 龍馬	HIR	2022-04-27	71808	curve	5	110	hit	single
Nishikawa, Ryoma	西川 龍馬	HIR	2022-04-27	71808	slider	3	127	hit	double
Nishikawa, Ryoma	西川 龍馬	HIR	2022-04-27	71808	straight	4	142	hit	single
McBroom, Ryan	マクブルーム ライアン	HIR	2022-04-27	71808	shoot	1	141	hit	single
Nakamura, Shosei	中村 奨成	HIR	2022-04-27	71808	slider	1	130	hit	single
Yoshikawa, Naoki	吉川 尚輝	YOM	2022-04-28	71809	straight	4	145	hit	single
Yoshikawa, Naoki	吉川 尚輝	YOM	2022-04-28	71809	fork	5	135	hit	single
Sakamoto, Hayato	坂本 勇人	YOM	2022-04-28	71809	slider	2	127	hit	single
Polanco, Gregory	ポランコ グレゴリー	YOM	2022-04-28	71809	shoot	4	145	hit	single
Okamoto, Kazuma	岡本 和真	YOM	2022-04-28	71809	straight	6	145	hit	home-run
Maru, Yoshihiro	丸 佳浩	YOM	2022-04-28	71809	straight	3	143	hit	home-run
Maru, Yoshihiro	丸 佳浩	YOM	2022-04-28	71809	straight	5	144	hit	double
Nakajima, Hiroyuki	中島 宏之	YOM	2022-04-28	71809	change-up	4	128	hit	single
Nakajima, Hiroyuki	中島 宏之	YOM	2022-04-28	71809	cutter	3	133	hit	single
Kishida, Yukinori	岸田 行倫	YOM	2022-04-28	71809	change-up	6	128	hit	single
Yamasaki, Iori	山﨑 伊織	YOM	2022-04-28	71809	straight	1	145	hit	single
Soto, Neftali	ソト ネフタリ	YOK	2022-04-28	71809	straight	6	145	hit	single
Maki, Shugo	牧 秀悟	YOK	2022-04-28	71809	straight	4	149	hit	double
Tobashira, Yasutaka	戸柱 恭孝	YOK	2022-04-28	71809	slider	1	123	hit	double
Kuramoto, Toshihiko	倉本 寿彦	YOK	2022-04-28	71809	straight	2	155	hit	single
Hirata, Ryosuke	平田 良介	CHU	2022-04-28	71810	straight	3	NA	hit	single
Martinez, Ariel	マルティネス アリエル	CHU	2022-04-28	71810	straight	2	138	hit	single
Viciedo, Dayan	ビシエド ダヤン	CHU	2022-04-28	71810	straight	2	140	hit	double
Abe, Toshiki	阿部 寿樹	CHU	2022-04-28	71810	straight	3	135	hit	single
Abe, Toshiki	阿部 寿樹	CHU	2022-04-28	71810	cutter	7	132	hit	single
Kinoshita, Takuya	木下 拓哉	CHU	2022-04-28	71810	cutter	4	128	hit	single
Ishikawa, Takaya	石川 昂弥	CHU	2022-04-28	71810	cutter	1	125	hit	home-run
Donoue, Naomichi	堂上 直倫	CHU	2022-04-28	71810	fork	4	127	hit	single
Chikamoto, Koji	近本 光司	HAN	2022-04-28	71810	straight	3	141	hit	single
Nakano, Takumu	中野 拓夢	HAN	2022-04-28	71810	cutter	2	136	hit	single
Nakano, Takumu	中野 拓夢	HAN	2022-04-28	71810	straight	4	144	hit	double
Sato, Teruaki	佐藤 輝明	HAN	2022-04-28	71810	cutter	1	134	hit	single
Itoi, Yoshio	糸井 嘉男	HAN	2022-04-28	71810	straight	6	146	hit	single
Itoi, Yoshio	糸井 嘉男	HAN	2022-04-28	71810	straight	1	142	hit	single
Yamamoto, Yasuhiro	山本 泰寛	HAN	2022-04-28	71810	straight	1	141	hit	single
Obata, Ryuhei	小幡 竜平	HAN	2022-04-28	71810	straight	6	140	hit	single
Ota, Kengo	太田 賢吾	YAK	2022-04-28	71811	slider	1	122	hit	single
Ota, Kengo	太田 賢吾	YAK	2022-04-28	71811	straight	2	147	hit	single
Yamasaki, Kotaro	山崎 晃大朗	YAK	2022-04-28	71811	cutter	3	141	hit	double
Murakami, Munetaka	村上 宗隆	YAK	2022-04-28	71811	two-seam	2	142	hit	single
Osuna, José	オスナ ホセ	YAK	2022-04-28	71811	shoot	3	142	hit	single
Osuna, José	オスナ ホセ	YAK	2022-04-28	71811	two-seam	4	129	hit	single
Osuna, José	オスナ ホセ	YAK	2022-04-28	71811	straight	3	150	hit	single
Matsumoto, Naoki	松本 直樹	YAK	2022-04-28	71811	straight	7	148	hit	single
Dobayashi, Shota	堂林 翔太	HIR	2022-04-28	71811	slider	5	134	hit	double
Kikuchi, Ryosuke	菊池 涼介	HIR	2022-04-28	71811	change-up	3	128	hit	single
Kikuchi, Ryosuke	菊池 涼介	HIR	2022-04-28	71811	straight	3	149	hit	single
Nishikawa, Ryoma	西川 龍馬	HIR	2022-04-28	71811	slider	8	138	hit	single
McBroom, Ryan	マクブルーム ライアン	HIR	2022-04-28	71811	cutter	4	136	hit	single
Sakakura, Shogo	坂倉 将吾	HIR	2022-04-28	71811	straight	3	145	hit	home-run
Tanaka, Kosuke	田中 広輔	HIR	2022-04-28	71811	straight	2	149	hit	single
Sato, Teruaki	佐藤 輝明	HAN	2022-04-29	71812	straight	2	143	hit	home-run
Ohyama, Yusuke	大山 悠輔	HAN	2022-04-29	71812	straight	5	143	hit	single
Ohyama, Yusuke	大山 悠輔	HAN	2022-04-29	71812	cutter	3	138	hit	home-run
Umeno, Ryutaro	梅野 隆太郎	HAN	2022-04-29	71812	fork	5	139	hit	single
Aoyagi, Koyo	青柳 晃洋	HAN	2022-04-29	71812	slider	2	131	hit	single
Yoshikawa, Naoki	吉川 尚輝	YOM	2022-04-29	71812	two-seam	2	140	hit	double
Tateoka, Soichiro	立岡 宗一郎	YOM	2022-04-29	71812	sinker	1	129	hit	single
Okamoto, Kazuma	岡本 和真	YOM	2022-04-29	71812	straight	3	143	hit	home-run
Ohshiro, Takumi	大城 卓三	YOM	2022-04-29	71812	straight	10	145	hit	single
Ohshiro, Takumi	大城 卓三	YOM	2022-04-29	71812	two-seam	5	143	hit	single
Wakabayashi, Akihiro	若林 晃弘	YOM	2022-04-29	71812	two-seam	9	144	hit	single
Dobayashi, Shota	堂林 翔太	HIR	2022-04-29	71814	straight	5	151	hit	home-run
McBroom, Ryan	マクブルーム ライアン	HIR	2022-04-29	71814	split-finger	5	137	hit	double
Sakakura, Shogo	坂倉 将吾	HIR	2022-04-29	71814	shoot	4	141	hit	single
Sakakura, Shogo	坂倉 将吾	HIR	2022-04-29	71814	straight	1	139	hit	single
Aizawa, Tsubasa	會澤 翼	HIR	2022-04-29	71814	split-finger	5	139	hit	single
Uemoto, Takashi	上本 崇司	HIR	2022-04-29	71814	split-finger	6	137	hit	single
Ohsera, Daichi	大瀬良 大地	HIR	2022-04-29	71814	straight	3	148	hit	single
Okabayashi, Yuki	岡林 勇希	CHU	2022-04-29	71814	cutter	5	134	hit	single
Viciedo, Dayan	ビシエド ダヤン	CHU	2022-04-29	71814	cutter	2	136	hit	single
Nakano, Takumu	中野 拓夢	HAN	2022-04-30	71815	split-finger	6	136	hit	single
Nakano, Takumu	中野 拓夢	HAN	2022-04-30	71815	split-finger	4	131	hit	single
Nakano, Takumu	中野 拓夢	HAN	2022-04-30	71815	straight	8	144	hit	single
Sato, Teruaki	佐藤 輝明	HAN	2022-04-30	71815	split-finger	3	133	hit	single
Itoi, Yoshio	糸井 嘉男	HAN	2022-04-30	71815	two-seam	2	144	hit	single
Itoi, Yoshio	糸井 嘉男	HAN	2022-04-30	71815	straight	2	145	hit	single
Yamamoto, Yasuhiro	山本 泰寛	HAN	2022-04-30	71815	straight	3	143	hit	home-run
Yoshikawa, Naoki	吉川 尚輝	YOM	2022-04-30	71815	straight	6	146	hit	single
Yoshikawa, Naoki	吉川 尚輝	YOM	2022-04-30	71815	curve	5	121	hit	single
Yoshikawa, Naoki	吉川 尚輝	YOM	2022-04-30	71815	straight	7	148	hit	single
Sakamoto, Hayato	坂本 勇人	YOM	2022-04-30	71815	straight	2	143	hit	single
Polanco, Gregory	ポランコ グレゴリー	YOM	2022-04-30	71815	straight	5	146	hit	home-run
Katsuki, Kazuya	香月 一也	YOM	2022-04-30	71815	change-up	4	132	hit	single
Hirooka, Taishi	廣岡 大志	YOM	2022-04-30	71815	slider	3	126	hit	single
Ohshiro, Takumi	大城 卓三	YOM	2022-04-30	71815	straight	5	144	hit	single
Kusumoto, Taishi	楠本 泰史	YOK	2022-04-30	71816	straight	3	NA	hit	single
Kusumoto, Taishi	楠本 泰史	YOK	2022-04-30	71816	straight	3	NA	hit	double
Maeda, Yamato	前田 大和	YOK	2022-04-30	71816	slider	6	127	hit	single
Maeda, Yamato	前田 大和	YOK	2022-04-30	71816	change-up	6	NA	hit	single
Yamamoto, Yudai	山本 祐大	YOK	2022-04-30	71816	straight	1	NA	hit	double
Tobashira, Yasutaka	戸柱 恭孝	YOK	2022-04-30	71816	slider	2	127	hit	single
Aoki, Norichika	青木 宣親	YAK	2022-04-30	71816	straight	2	NA	hit	single
Yamada, Tetsuto	山田 哲人	YAK	2022-04-30	71816	cutter	5	NA	hit	double
Osuna, José	オスナ ホセ	YAK	2022-04-30	71816	cutter	2	NA	hit	double
Uchiyama, Soma	内山 壮真	YAK	2022-04-30	71816	straight	4	NA	hit	single
Uchiyama, Soma	内山 壮真	YAK	2022-04-30	71816	straight	2	NA	hit	double
Dobayashi, Shota	堂林 翔太	HIR	2022-04-30	71817	two-seam	7	137	hit	single
Dobayashi, Shota	堂林 翔太	HIR	2022-04-30	71817	straight	3	153	hit	single
Kikuchi, Ryosuke	菊池 涼介	HIR	2022-04-30	71817	slider	2	134	hit	single
Nishikawa, Ryoma	西川 龍馬	HIR	2022-04-30	71817	straight	2	154	hit	single
McBroom, Ryan	マクブルーム ライアン	HIR	2022-04-30	71817	straight	3	152	hit	single
Suekane, Shota	末包 昇大	HIR	2022-04-30	71817	change-up	1	122	hit	single
Tanaka, Kosuke	田中 広輔	HIR	2022-04-30	71817	two-seam	5	135	hit	single
Morishita, Masato	森下 暢仁	HIR	2022-04-30	71817	straight	4	139	hit	single
Ukai, Kosuke	鵜飼 航丞	CHU	2022-04-30	71817	change-up	1	129	hit	single
Okabayashi, Yuki	岡林 勇希	CHU	2022-04-30	71817	cutter	5	137	hit	single
Okabayashi, Yuki	岡林 勇希	CHU	2022-04-30	71817	two-seam	1	142	hit	single
Okabayashi, Yuki	岡林 勇希	CHU	2022-04-30	71817	straight	2	145	hit	single
Viciedo, Dayan	ビシエド ダヤン	CHU	2022-04-30	71817	straight	1	145	hit	single
Viciedo, Dayan	ビシエド ダヤン	CHU	2022-04-30	71817	cutter	4	139	hit	single
Abe, Toshiki	阿部 寿樹	CHU	2022-04-30	71817	straight	3	151	hit	single
Abe, Toshiki	阿部 寿樹	CHU	2022-04-30	71817	straight	5	147	hit	single
Takahashi, Shuhei	高橋 周平	CHU	2022-04-30	71817	straight	2	147	hit	single
Kinoshita, Takuya	木下 拓哉	CHU	2022-04-30	71817	straight	1	NA	hit	single
Katoh, Shohei	加藤 翔平	CHU	2022-04-30	71817	straight	2	NA	hit	single
Genda, Sosuke	源田 壮亮	SEI	2022-04-28	72523	nuckle-curve	2	NA	hit	single
Genda, Sosuke	源田 壮亮	SEI	2022-04-28	72523	cutter	3	136	hit	triple
O'Grady, Brian	オグレディ ブライアン	SEI	2022-04-28	72523	change-up	1	138	hit	single
Yamakawa, Hotaka	山川 穂高	SEI	2022-04-28	72523	straight	8	149	hit	home-run
Nakamura, Takeya	中村 剛也	SEI	2022-04-28	72523	cutter	6	138	hit	single
Kaneko, Yuji	金子 侑司	SEI	2022-04-28	72523	straight	11	149	hit	single
Mimori, Masaki	三森 大貴	SFT	2022-04-28	72523	straight	2	131	hit	single
Yanagita, Yuki	柳田 悠岐	SFT	2022-04-28	72523	straight	2	152	hit	single
Yanagita, Yuki	柳田 悠岐	SFT	2022-04-28	72523	straight	2	132	hit	home-run
Nakamura, Akira	中村 晃	SFT	2022-04-28	72523	sinker	2	127	hit	triple
Yanagimachi, Tatsuru	柳町 達	SFT	2022-04-28	72523	straight	4	132	hit	single
Uebayashi, Seiji	上林 誠知	SFT	2022-04-28	72523	change-up	7	132	hit	single
Imamiya, Kenta	今宮 健太	SFT	2022-04-28	72523	straight	5	149	hit	single
Imamiya, Kenta	今宮 健太	SFT	2022-04-28	72523	slider	2	121	hit	single
Imamiya, Kenta	今宮 健太	SFT	2022-04-28	72523	slider	6	131	hit	double
Imamiya, Kenta	今宮 健太	SFT	2022-04-28	72523	straight	3	157	hit	single
Genda, Sosuke	源田 壮亮	SEI	2022-04-29	72526	straight	3	146	hit	double
Yamakawa, Hotaka	山川 穂高	SEI	2022-04-29	72526	cutter	1	139	hit	single
Wu, Nien-ting	呉 念庭	SEI	2022-04-29	72526	straight	6	155	hit	single
Nakamura, Takeya	中村 剛也	SEI	2022-04-29	72526	two-seam	6	152	hit	single
Nakamura, Takeya	中村 剛也	SEI	2022-04-29	72526	slider	6	130	hit	single
Tsuge, Sena	柘植 世那	SEI	2022-04-29	72526	straight	4	137	hit	double
Kaneko, Yuji	金子 侑司	SEI	2022-04-29	72526	slider	4	NA	hit	double
Mune, Yuma	宗 佑磨	ORX	2022-04-29	72526	straight	2	159	hit	single
Tongu, Yuma	頓宮 裕真	ORX	2022-04-29	72526	fork	5	144	hit	single
Kita, Ryoto	来田 涼斗	ORX	2022-04-29	72526	fork	3	138	hit	single
Ohta, Ryo	太田 椋	ORX	2022-04-29	72526	fork	3	143	hit	double
Mimori, Masaki	三森 大貴	SFT	2022-04-30	72527	straight	2	143	hit	home-run
Mimori, Masaki	三森 大貴	SFT	2022-04-30	72527	change-up	4	133	hit	double
Nomura, Isami	野村 勇	SFT	2022-04-30	72527	straight	2	145	hit	single
Nomura, Isami	野村 勇	SFT	2022-04-30	72527	straight	6	145	hit	single
Yanagita, Yuki	柳田 悠岐	SFT	2022-04-30	72527	straight	1	144	hit	single
Yanagita, Yuki	柳田 悠岐	SFT	2022-04-30	72527	straight	3	144	hit	single
Gracial, Yurisbel	グラシアル ユリスベル	SFT	2022-04-30	72527	straight	2	143	hit	single
Gracial, Yurisbel	グラシアル ユリスベル	SFT	2022-04-30	72527	change-up	7	130	hit	single
Nakamura, Akira	中村 晃	SFT	2022-04-30	72527	straight	2	149	hit	single
Uebayashi, Seiji	上林 誠知	SFT	2022-04-30	72527	straight	2	151	hit	double
Yanagimachi, Tatsuru	柳町 達	SFT	2022-04-30	72527	change-up	1	123	hit	single
Yanagimachi, Tatsuru	柳町 達	SFT	2022-04-30	72527	straight	2	150	hit	single
Kai, Takuya	甲斐 拓也	SFT	2022-04-30	72527	straight	5	147	hit	single
Kai, Takuya	甲斐 拓也	SFT	2022-04-30	72527	fork	2	136	hit	double
Nishikawa, Haruki	西川 遥輝	RAK	2022-04-30	72527	fork	2	141	hit	single
Nishikawa, Haruki	西川 遥輝	RAK	2022-04-30	72527	straight	3	149	hit	home-run
